外观还是很秀气和轻薄,1
周二下单,0
超值又方便,0
就是苹果系统还在摸索中,0
外观高端大气上档次,0
还不错,0
电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用电脑好用,0
很薄,1
我最后都要抓狂了,0
轻薄小巧精致,1
以后买电脑就你家啦,0
感觉很好,0
希望不要我后悔,0
我为什么每个商品的评价都一样,0
下载了360杀毒软件,0
改问同事,0
很快很方便,1
立刻出发,0
我竟产生出一种mdash,0
the,0
京东快递服务不错,0
舒服,0
还送了电脑包和鼠标,0
之前的电脑156太大了,0
看视频可以用5个小时,0
键盘手感超级赞,0
多程序运行时,0
是正品,0
薄且边窄,1
做工作都很好,0
以观后效,0
小美女很开心,0
不错不错不错不错不错不错不错不错不错不错,0
便捷高效,0
256GSSD,0
而今,0
非常不错的产品,0
老板,0
非常棒,0
电脑反应超级快,1
流畅度和触控板太好了,1
很赞,0
好看,1
只留下两个typec接口,0
不过还是不太熟悉win10,0
按键也很舒服商家发货速度很快,0
牛女二星河左右,0
颜值爆表,1
用的质量真不错,0
主要就是办公用的,0
虽然很贵,0
30天试用期,0
电池容量增大了,0
你值得拥有,0
物流也很快,0
外观完美,1
亲切热情,0
大爱,0
机器速度也快,1
本子也很轻,1
mac系统还是很好上手的,0
好评,0
跟理想要求差距太大,0
一次很好的购物体验,0
东西不错给个好评,0
笔记本不错,0
很卡,0
正品,0
比如可以不关机,0
这质量,0
卖家年纪轻轻,0
摸索中,0
要打游戏或者是更高的需求的话,0
拿到手那分钟真的有被惊艳到,1
正品,0
下次还买,0
为了稳定性也就只能这样了,0
正在熟悉中,0
性价比高,1
包装非常仔细,0
苹果的做工就是精致,0
机器性能ok,1
安装了双系统,0
需要从头学起了啊,0
这个型号的挺轻便,0
真心不错,0
分辨率低了点,1
和我现在的小米相比,0
小娜智能体验特别好,0
也打了400电话咨询,0
所以就直接一起买了,0
不错,0
做工精细,1
色彩很好,1
非常好,0
做工很好,0
很好很帅气,0
速度很快,1
有需要再来,0
Win10家庭版,0
给公司质量部经理使用,0
单位买的,0
挺棒性价比很高,1
性能不错,1
性价比高,1
好看但是性能就不予评价了反正也不打游戏,0
因为今天买明天就可以送到,0
办公很给力,0
一线京东客服,0
没有任何问题,0
系统默认好评,0
感觉还可以哦,0
卸载后重装解决了这一问题,0
颜色美观,1
感觉也够了,0
快递又快,0
上一个thinkpad笔记本用了7年了,0
检查了是很新的配置,0
很流畅,1
客服也很好,0
比自营要优惠200,0
双十一出手,0
对于一个不懂电脑的人,0
一直就不在意币和积分怎么用,0
性价比也高,1
不错,0
性价比很高,1
您没有填写内容,0
很薄,1
笔记本电脑非常平稳,0
满意,0
好评,0
运行速度快,1
赠品也比自营送得多,0
很棒,0
and,0
在习惯中,0
还好吧,0
是将自己的兴趣和梦想做到极致,0
觉得没有那么难,0
够轻薄,1
满意,0
很不错,0
很不错的本,0
双十一活动很实在,0
不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错,0
还不习惯苹果系统,0
就是新电脑我不知道为什么会那么卡,0
整体购买情况很是愉快,0
服务也很到位,0
短期内第二个了,0
111111111,0
非常快,0
好用,0
哈哈哈哈哈哈哈哈哈哈或,0
卖家热情,0
用起来也好的,0
手感也不错,0
小巧,1
看个优酷都烫手,0
激活时期准确,0
不过用着还有点不习惯,0
运送速度挺快,0
游戏无压力,1
和想象的一样,0
经过痛苦的思想斗争,0
约会几次了,0
大概了用了4年,0
苹果定制的系统用在自家的机器上,0
还在使用探索中,0
very,0
性能稳定,1
太满意了,0
非常好,0
京东的口碑还是那么好,0
我这次买的就很给力,0
本本很薄,1
重量也挺轻的,1
就是裸机有配送点东西就更好了,0
送的包太坑了,0
但买了也不会后悔,0
重量很轻,1
值得入手,0
使用流畅,1
以后还会来的买东西的,0
也懒得整了,0
和预期的一样,0
东西特别好,0
好评,0
电脑很好用,0
期待已久,0
